# <K/N> <U/N> <E/N> <U/N>
-4.821125e-01 -7.270587e+00 -7.752699e+00 -7.270587e+00
-5.031406e-01 -7.240845e+00 -7.743986e+00 -7.240845e+00
-5.143674e-01 -7.232894e+00 -7.747262e+00 -7.232894e+00
-5.195687e-01 -7.222310e+00 -7.741879e+00 -7.222310e+00
-5.267081e-01 -7.224339e+00 -7.751047e+00 -7.224339e+00
-5.108290e-01 -7.238427e+00 -7.749256e+00 -7.238427e+00
-4.904374e-01 -7.241957e+00 -7.732395e+00 -7.241957e+00
-5.076329e-01 -7.234370e+00 -7.742003e+00 -7.234370e+00
-5.250105e-01 -7.231659e+00 -7.756669e+00 -7.231659e+00
-5.303954e-01 -7.223783e+00 -7.754178e+00 -7.223783e+00
-5.279679e-01 -7.227268e+00 -7.755236e+00 -7.227268e+00
-5.244399e-01 -7.237977e+00 -7.762417e+00 -7.237977e+00
-5.196373e-01 -7.245335e+00 -7.764972e+00 -7.245335e+00
-5.147389e-01 -7.240303e+00 -7.755042e+00 -7.240303e+00
-4.982301e-01 -7.241550e+00 -7.739780e+00 -7.241550e+00
-5.016840e-01 -7.238967e+00 -7.740651e+00 -7.238967e+00
-5.169448e-01 -7.227156e+00 -7.744100e+00 -7.227156e+00
-5.054151e-01 -7.232605e+00 -7.738020e+00 -7.232605e+00
-5.036137e-01 -7.244868e+00 -7.748481e+00 -7.244868e+00
-4.896545e-01 -7.261767e+00 -7.751421e+00 -7.261767e+00
-4.931074e-01 -7.261538e+00 -7.754645e+00 -7.261538e+00
-4.847423e-01 -7.260169e+00 -7.744911e+00 -7.260169e+00
-4.955140e-01 -7.241707e+00 -7.737221e+00 -7.241707e+00
-5.180025e-01 -7.236169e+00 -7.754171e+00 -7.236169e+00
-5.211269e-01 -7.236201e+00 -7.757328e+00 -7.236201e+00
-5.156701e-01 -7.231641e+00 -7.747311e+00 -7.231641e+00
-4.937824e-01 -7.248048e+00 -7.741830e+00 -7.248048e+00
-4.814378e-01 -7.264723e+00 -7.746161e+00 -7.264723e+00
-4.774974e-01 -7.251268e+00 -7.728765e+00 -7.251268e+00
-4.729063e-01 -7.267399e+00 -7.740305e+00 -7.267399e+00
-5.148886e-01 -7.241993e+00 -7.756882e+00 -7.241993e+00
-5.263077e-01 -7.233380e+00 -7.759687e+00 -7.233380e+00
-5.231860e-01 -7.228699e+00 -7.751885e+00 -7.228699e+00
-4.955185e-01 -7.245349e+00 -7.740868e+00 -7.245349e+00
-5.009343e-01 -7.244363e+00 -7.745298e+00 -7.244363e+00
-4.910552e-01 -7.249735e+00 -7.740790e+00 -7.249735e+00
-4.926257e-01 -7.243723e+00 -7.736349e+00 -7.243723e+00
-5.224363e-01 -7.222822e+00 -7.745258e+00 -7.222822e+00
-5.117930e-01 -7.238414e+00 -7.750207e+00 -7.238414e+00
-5.128242e-01 -7.240193e+00 -7.753017e+00 -7.240193e+00
-4.944456e-01 -7.256394e+00 -7.750839e+00 -7.256394e+00
-4.877007e-01 -7.261981e+00 -7.749681e+00 -7.261981e+00
-4.799110e-01 -7.260268e+00 -7.740179e+00 -7.260268e+00
-4.740850e-01 -7.276850e+00 -7.750935e+00 -7.276850e+00
-4.868592e-01 -7.265965e+00 -7.752824e+00 -7.265965e+00
-5.210872e-01 -7.233601e+00 -7.754688e+00 -7.233601e+00
-5.038709e-01 -7.248508e+00 -7.752379e+00 -7.248508e+00
-4.875143e-01 -7.265786e+00 -7.753301e+00 -7.265786e+00
-4.949391e-01 -7.260904e+00 -7.755843e+00 -7.260904e+00
-4.938445e-01 -7.257937e+00 -7.751781e+00 -7.257937e+00
-5.040415e-01 -7.250816e+00 -7.754857e+00 -7.250816e+00
-5.054798e-01 -7.249479e+00 -7.754959e+00 -7.249479e+00
-4.917187e-01 -7.256731e+00 -7.748449e+00 -7.256731e+00
-4.896552e-01 -7.264095e+00 -7.753750e+00 -7.264095e+00
-5.143107e-01 -7.238688e+00 -7.752999e+00 -7.238688e+00
-5.066853e-01 -7.243783e+00 -7.750468e+00 -7.243783e+00
-4.950367e-01 -7.252753e+00 -7.747789e+00 -7.252753e+00
-4.997636e-01 -7.242554e+00 -7.742318e+00 -7.242554e+00
-5.078073e-01 -7.234844e+00 -7.742651e+00 -7.234844e+00
-5.129045e-01 -7.237138e+00 -7.750043e+00 -7.237138e+00
-5.030615e-01 -7.242031e+00 -7.745093e+00 -7.242031e+00
-4.915878e-01 -7.254160e+00 -7.745748e+00 -7.254160e+00
-4.982637e-01 -7.251260e+00 -7.749523e+00 -7.251260e+00
-4.974316e-01 -7.246305e+00 -7.743737e+00 -7.246305e+00
-5.161789e-01 -7.225885e+00 -7.742064e+00 -7.225885e+00
-4.995011e-01 -7.247342e+00 -7.746843e+00 -7.247342e+00
-4.964496e-01 -7.257534e+00 -7.753984e+00 -7.257534e+00
-4.851427e-01 -7.264173e+00 -7.749316e+00 -7.264173e+00
-4.928058e-01 -7.267033e+00 -7.759838e+00 -7.267033e+00
-4.848894e-01 -7.269762e+00 -7.754651e+00 -7.269762e+00
-4.928524e-01 -7.267365e+00 -7.760217e+00 -7.267365e+00
-5.030962e-01 -7.247852e+00 -7.750949e+00 -7.247852e+00
-5.059877e-01 -7.252638e+00 -7.758626e+00 -7.252638e+00
-4.771331e-01 -7.260876e+00 -7.738010e+00 -7.260876e+00
-4.770389e-01 -7.259714e+00 -7.736753e+00 -7.259714e+00
-4.658424e-01 -7.272198e+00 -7.738040e+00 -7.272198e+00
